Row ID,Order ID,Order Date,Ship Date,On-Time,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Cost Price,Selling Price,Sales on CP,Sales,Quantity,Discount,Profit,Short Month,Order Month
3844,CA-2017-101931,"Saturday, October 28, 2017","Tuesday, October 31, 2017",0,First Class,TS-21370,Todd Sumrall,Corporate,United States,Los Angeles,California,90049,West,OFF-SU-10002301,Office Supplies,Supplies,Serrated Blade or Curved Handle Hand Letter Openers,61,344,122,688,2,0,566,Oct,10
3845,CA-2017-101931,"Saturday, October 28, 2017","Tuesday, October 31, 2017",0,First Class,TS-21370,Todd Sumrall,Corporate,United States,Los Angeles,California,90049,West,OFF-SU-10000646,Office Supplies,Supplies,Premier Automatic Letter Opener,13,156,26,312,2,0,286,Oct,10
3847,CA-2017-101931,"Saturday, October 28, 2017","Tuesday, October 31, 2017",0,First Class,TS-21370,Todd Sumrall,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,74,279,370,1395,5,0,1025,Oct,10
6018,CA-2017-102652,"Sunday, June 4, 2017","Monday, December 4, 2017",1,Standard Class,AY-10555,Andy Yotov,Corporate,United States,Los Angeles,California,90049,West,OFF-PA-10003309,Office Supplies,Paper,Xerox 211,73,261,219,783,3,0,564,Jun,6
6019,CA-2017-102652,"Sunday, June 4, 2017","Monday, December 4, 2017",1,Standard Class,AY-10555,Andy Yotov,Corporate,United States,Los Angeles,California,90049,West,OFF-PA-10001977,Office Supplies,Paper,Xerox 194,21,123,21,123,1,0,102,Jun,6
2061,CA-2017-106439,"Tuesday, October 31, 2017","Tuesday, April 11, 2017",0,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003996,Office Supplies,Storage,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",93,266,465,1330,5,0,865,Oct,10
2063,CA-2017-106439,"Tuesday, October 31, 2017","Tuesday, April 11, 2017",0,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,OFF-PA-10000477,Office Supplies,Paper,Xerox 1952,57,300,741,3900,13,0,3159,Oct,10
2065,CA-2017-106439,"Tuesday, October 31, 2017","Tuesday, April 11, 2017",0,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10001963,Office Supplies,Storage,Tennsco Regal Shelving Units,18,267,72,1068,4,0,996,Oct,10
2068,CA-2017-106439,"Tuesday, October 31, 2017","Tuesday, April 11, 2017",1,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,OFF-AR-10001419,Office Supplies,Art,Newell 325,90,207,270,621,3,0,351,Oct,10
2060,CA-2017-106439,"Tuesday, October 31, 2017","Tuesday, April 11, 2017",1,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,OFF-FA-10002975,Office Supplies,Fasteners,Staples,57,211,171,633,3,0,462,Oct,10
